Commodity,Market,Records,Average_Price
Arecanut,Palakkad,10,11300.0
Arecanut,Balrampur,7,8899.29
Arecanut,Indore,7,7210.71
Arecanut,Kalyan,7,9057.14
Arecanut,Kanpur(Grain),7,8650.0
Banana,Taleja,14,13223.93
Banana,Jam Jodhpur,11,12370.0
Banana,Junagadh,10,12530.0
Banana,Bhavnagar,7,9630.0
Banana,Botad,7,8985.71
Brinjal,Khirakiya,11,4375.09
Brinjal,Kurawar,11,4345.45
Brinjal,Manasa,11,4482.55
Brinjal,Sehore,11,4480.18
Brinjal,Mhow,10,4390.8
Cardamoms,Ganjbasoda,34,2710.0
Cardamoms,Sehore,30,2730.27
Cardamoms,Umariya,27,2449.48
Cardamoms,Katni,24,2545.71
Cardamoms,Indore,22,2725.41
Chikoos(Sapota),MANKADA VFPCK,41,2046.34
Chikoos(Sapota),Anchal,35,5971.43
Chikoos(Sapota),Ravulapelem,35,2580.0
Chikoos(Sapota),Maranelloor VFPCK,33,4000.0
Chikoos(Sapota),Koovapadi VFPCK,32,3546.88
Cloves,Kalipur,16,2550.0
Cloves,Rajim,16,1985.75
Cloves,Bichhiya,15,2124.4
Cloves,Faizabad,14,2117.86
Cloves,Golagokarnath,14,1922.14
Coffee,Lakhimpur,14,6427.86
Coffee,Pukharayan,14,6620.36
Coffee,Sehore,14,5473.57
Coffee,Ashta,12,6534.33
Coffee,Dahod,12,5888.75
Ginger(Dry),Azadpur,42,12380.9
Ginger(Dry),Mechua,18,9166.67
Ginger(Dry),Chokkikulam(Uzhavar Sandhai ),8,12375.0
Ginger(Dry),Cuddalore(Uzhavar Sandhai ),8,5500.0
Ginger(Dry),Kumbakonam (Uzhavar Sandhai ),8,6125.0
Guava,Ammapet(Uzhavar Sandhai ),8,5250.0
Guava,Anaiyur(Uzhavar Sandhai ),8,13250.0
Guava,Anna nagar(Uzhavar Sandhai ),8,15875.0
Guava,Chokkikulam(Uzhavar Sandhai ),8,15875.0
Guava,Hasthampatti(Uzhavar Sandhai ),8,21750.0
Mango,Bodeliu,8,6930.0
Mango,Hadad,8,6940.62
Mango,Jambusar,8,6025.0
Mango,Jambusar(Kaavi),8,6025.0
Mango,Kalediya,8,6940.62
Nutmeg,Kalyani,24,4233.33
Nutmeg,Jhargram,21,4400.0
Nutmeg,Durgapur,16,3837.5
Nutmeg,Kalipur,16,4155.0
Nutmeg,Baruipur(Canning),14,4350.0
Papaya,Azadpur,105,5408.33
Papaya,Mechua,18,15000.0
Papaya,Shopian,18,7569.44
Papaya,Hamirpur,16,8331.25
Papaya,Kattappana,15,16026.67
Pineapple,Champadanga,8,7625.0
Pineapple,Ghatal,8,7581.25
Pineapple,Islampur,8,8075.0
Pineapple,Jangipur,8,7305.62
Pineapple,Jiaganj,8,7768.75
Pumpkin,Kurnool,5,5427.4
Pumpkin,Ahmednagar,1,5500.0
Pumpkin,Ausa,1,5600.0
Pumpkin,Baramati,1,4500.0
Pumpkin,Chitradurga,1,5686.0
Rice,Tuljapur,11,7656.91
Rice,Palakkad,10,12980.0
Rice,Dudhani,9,7144.0
Rice,Shirpur,8,8757.0
Rice,Chopada,7,8445.29
Rubber,Golagokarnath,14,2099.29
Rubber,Lakhimpur,14,2125.36
Rubber,Dahod,12,2361.25
Rubber,Tiruvuru,12,2312.08
Rubber,Chhindwara,11,2188.18
Tapioca,Rajkot,14,4783.21
Tapioca,Jetpur(Dist.Rajkot),10,5204.0
Tapioca,Ammapet(Uzhavar Sandhai ),8,6000.0
Tapioca,Amreli,8,4629.38
Tapioca,Anaiyur(Uzhavar Sandhai ),8,6187.5
Tea,Rajkot,11,3098.64
Tea,Jambusar,8,3325.0
Tea,Jambusar(Kaavi),8,3337.5
Tea,Pachora,8,2215.88
Tea,Sangli,8,4043.75
Tomato,Asansol,16,6691.56
Tomato,Durgapur,16,6703.75
Tomato,Golagokarnath,14,6582.14
Tomato,Lakhimpur,14,6457.86
Tomato,Pukharayan,14,6997.14
Turmeric,Keezhampara VFPCK,12,2483.33
Turmeric,Anna nagar(Uzhavar Sandhai ),8,6937.5
Turmeric,Chokkikulam(Uzhavar Sandhai ),8,6000.0
Turmeric,Hosur(Uzhavar Sandhai ),8,8000.0
Turmeric,Kundrathur(Uzhavar Sandhai ),8,5000.0
